id,title,artist,year,genre,lyrics_raw,lyrics_clean
27,Впало небо,Бумбокс,2019,Hip-Hop,"Впало небо, розтеклось так безпорадно
Відпалало і розвіялось як дим
Ніч без тебе ніби вічність це так складно
Нічим крити, відлякати кроків цих нічим
Чому ж ми такі налякані
Нерви як струни змотані
В міцні канати времені
В лати вдягнені
Ну, пробач мені...
Тільки мовчи, не пояснюй, не добивай
Словом холодним, жодним нас не вмивай
Ранять вони гірш ніж кулі, в душі печуть
Я все одно не кину і не втечу
Ну, що ще треба
Крім дивитися мовчки як ти спиш
Хто не втратив, годі й пояснити тим
Ніч без тебе, не розповідай, облиш
Відпалала і розвіялась як дим
Чому ж ми такі налякані
Нерви як струни змотані
В міцні канати времені
В лати вдягнені
Тільки мовчи, не пояснюй, не добивай
Словом холодним, жодним, жодним нас не вмивай
Ранять вони гірш ніж кулі, в душі печуть
Бо я все одно не кину і не втечу
Тільки мовчи, не пояснюй, не добивай
Словом холодним, жодним, жодним нас не вмивай
Ранять вони гірш ніж кулі, в душі печуть
Бо я все одно не кину і не втечу",
28,Плющ,Бумбокс,2019,Hip-Hop,"Хотів б я тебе, мов плющ, обняти,
Так міцно і так щільно, і закрить вiд світа,
Я не боюсь тобі життя одняти,
Ти будеш мов руїна, листом моїм вкрита,
Плющ надає життя, він обіймає,
Боронить від негоди стіну голу,
Але й руїна стало так тримає
Товариша, аби не впав додолу.
Їм добре так удвох, - як нам з тобою,
А прийде час розсипатись руїні,
Нехай вона плюща сховає під собою.
Навіщо здався плющ на самотині?
Хіба на те, аби валятись долі
Пораненим, пошарпаним, без сили
Чи з розпачу повитись на тополі
І статися для неї гірш могили?
Плющ їй дає життя, він обіймає,
Боронить від негоди стіну голу,
Але й руїна стало так тримає
Товариша, аби не впав додолу.
Їм добре так удвох, - як нам з тобою,
А прийде час розсипатись руїні,
Нехай вона плюща тоді сховає під собою.
Навіщо здався плющ на самотині?
Нехай вона плюща тоді сховає під собою.
Навіщо здався плющ на самотині?",
29,Тримай мене,Бумбокс,2019,Hip-Hop,"Смішно, сумно, чесним бути чи розумним?
Вибір несумнівно є.
Нерви, втома, але хтось чекає вдома.
Вітер музику несе.
Тримай мене, не дай мені піти, навіть не на хвилину -
Бо не зможеш більш знайти під цим дощем.
Дивись, я можу ще! Ритаймер без зупину.
Розібємося вщент.
Жити, битись, разом скиглити на місяць -
Спільне несумнівно є.
Щастя, доля. До хліба сльози замість солі.
Вітер музику несе.
Тримай мене, не дай мені піти, навіть не на хвилину -
Бо не зможеш більш знайти під цим дощем.
Дивись, я можу ще! Ритаймер без зупину.
Ми розібємося вщент i лишимось живими.
Лишимось живими
Лишимось живими.
Щастя ретушоване в смартфонах.
Годи наші в рамах золотих.
Тисячі небачених знайомих.
Мила моя, скажи. Чи я один із них?
Чи я один із них? Один із них.
Розфасуй кохання по флаконах
І приймай, коли так б'є під дих.
Бач, солдатів садять по вагонах.
Мила моя - я один із них!
Тримай мене, не дай мені піти, навіть не на хвилину -
Бо не зможеш більш знайти під цим дощем.
Дивись, я можу ще! Ритаймер без зупину.
Ми розібємося вщент i лишимось живими.
Лишимось живими
Лишимось живими.
Смішно, сумно.
Чесним бути чи розумним -
Вибір несумнівно є",
30,Ангела,Бумбокс,2019,Hip-Hop,"Ангела, як я!.. Ангела, як я!..
Ангела, як я!.. Ангела!..

Ти хочеш, щоб твоїм був,
Щоб знов літав я.
Давай іще один смс,
На кшталт солодший голос,
Ніж в солов'я,
Але не в тому твій інтерес.
А потім фото, де ти крихка,
Або попросиш допомогти.
Це я тебе так довго шукав
І сточено ці гострі кути...
Звичайні всі, та ти не така,
Як просто стало згоди дійти.
Вночі не знаєм де себе діти,
Френкі і Джоні, дорослі діти.
Біжу і не чіпляю ріллі,
Всі прилади мої на нулі,
І люди вже не як кораблі,
Монмартр, ти, вона і Далі!

Ангела, як я!..
Де ти знайдеш такого?..
Ангела, як я!..
Ангела, як я!..
Де ти знайдеш такого?..
Ангела!..
Ангела, як я!..
Ангела, як я!..
Ангела, як я!..
Ангела!..

І якщо хочеш, щоб пішов я,
Хочеш, щоб змовк,
Давай іще один смс,
Що був найкращим в парі
З нас двох!
Не пив вина, не грав стюардес,
Що не чекав у спину ножа
З усюди та не від тебе, жах!
Наплюй на, до себе жаль, чи ні?..
Цей біль поживе в мені,
Немов у камені.
Віденські Шіллє, Клімдт і Ліндт
Не розіб'ють наш триклятий лід.
Я думав, що віднайшов
Свій золотий грааль!
Танули пристрасті
В готелів номерах,
Ставало звично так,
Тепер скажи все це:
Що справа не в мені
І ми зайшли за край.
Відпустить - набирай,
Бо ми загубили рай!

Ангела, як я!..
Де ти знайдеш такого?..
Ангела, як я!..
Де тепер знайдеш такого?..
Ангела, як я!..
Ангела!..
Ангела, як я!..
Ангела, як я!..
Ангела, як я!..
Ангела!..",
31,Дрантя,Бумбокс,2019,Hip-Hop,"Дрантя від розмов.
Газ в підлогу, фари в ніч. Сумно їй.
Ну давай, давай, знов пхай у мене гостру річ.
Нудно їй, нудно їй.
Сказала: ти можеш дізнатись мій номер
I в тіло моє увійти. Віддати мені своє прізвище.
Але, як кохання моє величезне розтане і зчезне -
Не звикай, не зволікай - пробуй ще.
Ти не звикай, не зволікай -
Пробуй ще!
Пробуй ще!
Поверталась і тікала -
Схоже, божеволію.
Хочу, щоби ти кричала,
Підходь поближче до вогню!
Ближче до вогню!
Згадувала, забувала;
Вихлестала кров мою.
Хочу, щоби ти кричала -
Підходь поближче до вогню!
Ближче до вогню.
В моді лютий кітч. Нікому не вір,
Бо ти один у цьому світі, як у клітці хижий звір.
Годі вити, не побитий i не таке долав!
Незнайомий голос тобі пошепки сказав:
""Пам'ятай про що ти мріяв i чого хотів -
Бо це і є твоє останнє з дев'яти життів.
Пам'ятай про що ти мріяв i чого хотів -
Бо це і є твоє останнє з дев'яти котячих життів,
Котячих життів.
Поверталась і тікала -
Схоже, божеволію.
Хочу, щоби ти кричала,
Підходь поближче до вогню!
Ближче до вогню!
Згадувала, забувала;
Вихлестала кров мою.
Хочу, щоби ти кричала -
Підходь поближче до вогню!
Ближче до вогню.
До вогню
До вогню
До вогню",
32,Безодня,Бумбокс,2019,Hip-Hop,"Руками, вустами, волоссям, плечима
Мовчанням, словами, думками, очима
Однакові й різні, ми рівні сьогодні
Між нами півкроку, між нами безодня
Маленька сховалася в темряві лячно, лячно
Я все відчуваю, я всю тебе бачу
І ковдрою теплою, кожухом стану
Якщо ти попросиш, як не перестанеш
Вустами, світлинами, текстами, снами
Ні, не передати, що діється з нами
Я знаю, як часом буває самотньо
До тебе півкроку, до тебе безодня
Якби докричався, якби ти почула!
Навшпиньки (навпомацки), навпіл (лечу я)
Скажи, чи нам з іншими буде так само
Руками, плечима, волоссям, вустами?
Тебе, тебе
Я дарма серед ночі кличу
Тебе, тебе
не продам і не позичу
Тепер, тепер
скелею із солі стану
Але, але
Наш світ під три чорти несеться
Як вибуху хвиля, як річкою крига
Нехай шкереберть все це і догори дриґа
Твій голос прямісінько в
Тебе, тебе
Я дарма серед ночі кличу
Тебе не
не продам і не позичу
Тепер, тепер
скелею із солі стану
Але, але
Віритиму, мов в останню
Віритимемо востаннє
Мов в останню",
33,Твій на 100%,Бумбокс,2019,Hip-Hop,"На небі немає хвиль
І я не її типаж
В очах Пасадени пляж
За дуже і дуже багато миль
Це все як короткий метр
Крізь терни і до біса
Їх рейс десь на Ібіца
Впізнала — і ось тепер
""Чи ти музикант, чувак?
Не бійся, я не вкушу
У мене за дві літак
Так, лише на льоту пишу
Я слухала твій альбом
Із тим, кого вже нема
Так добре було разом
Не слухаю, бо сама""
Давні наші подорожі кудись
Почуттів, спалахів білий дим
Я його записував не тобі
Але в нім ви разом з ним
Там захований наш таємний код
Там кохання на землі й на небі
Я його записував не тобі
А тепер він твій на сто відсотків!
Твій на сто відсотків!
Хоча я не бував там, де ти була
Історія моя — не уяви витвір
Слова я ці тоді не кидав на вітер
Про те, що жар пізнала лише зола
Ми назбирали вражень на цей альбом
Най музика хоч трошки лікує рани
Робив його без грошей і не для шани
Бачу, що все це було намарно!
Давні наші подорожі кудись
Почуттів, спалахів білий дим
Я його записував не тобі
Але в нім ви разом з ним
Там заховано наш таємний код
Там кохання на землі й на небі
Я його записував не тобі
А тепер він твій на сто відсотків!
Твій на сто відсотків!
Твій на сто відсотків!
А тепер він твій на сто відсотків!
Здається, лиш final call
Швиденько, бігом біжи
Я теж ті рядки прожив
З тією, що тепер задалеко
А ось і мій екіпаж
Не раз і не два, вже так
Ні-ні, я не твій типаж
І зранку знов на літак
Давні наші подорожі кудись
Почуттів, спалахів білий дим
Я його записував не тобі
Але в нім ви разом з ним
Там заховано наш таємний код
Там кохання на землі й на небі
Я його записував не тобі
А тепер він твій на сто відсотків! Гей-гей, гей!
Твій на сто відсотків!
Твій на сто відсотків! Чуєш?
Твій на сто відсотків! (Гей!)
Твій на сто відсотків! (Гей!)",
34,Побачимось,Бумбокс,2019,Hip-Hop,"Побачимось у тих містах
Де мріяли побути вдвох
Побачимось, побачимось, побачимось
Побачимось в країнах тих
Де ти вважала я твій бог
Побачимось, побачимось, побачимось
Один в глибокій темній воді
Чи война і без зброї в степу
Не снись мені в однаковім сні
Я за тобою в прірву пірну
В тобі тону, в тобі тону, в тобі тону
Тону, ша-ра-ра-ра-ра-ра-ра
В тобі тону
Тону я, в тобі тону
Побачимось у тих роках, в країнах тих
Де всього зіпсувати я не встиг
Де ти щаслива на моїх руках
Побачимось в країнах тих, у тих роках
Де ти зі мною і дно не торкається ніг
Поклади, якщо хочеш, на мене вину
Там ми поряд і світ цей нас не переміг
Дуже боляче, що ти не бачиш як я, бачиш як я
В тобі тону, в тобі тону, в тобі тону
Тону, ша-ра-ра-ра-ра-ра-ра
В тобі тону я, тону
В тобі тону
Будь зі мною де дно не торкається ніг
Поклади, якщо хочеш, на мене вину
Там ми поряд і світ цей нас не переміг
Це так боляче, що ти не бачиш як я, бачиш як я
В тобі тону, в тобі тону, в тобі тону
Тону, ша-ра-ра-ра-ра-ра-ра-ра-ра
В тобі тону я, тону
В тобі тону",
35,Голий король,Бумбокс,2017,Hip-Hop,"В той самий день, коли станеш королем
Ти першою за грати кинеш совість
Собі лиши жагу життя натомість
Всім нам накажеш жити без проблем
В той самий день, коли станеш королем
Ти першою на трон посадиш пристрасть
Вона тобі ключі від щастя видасть
А краще - зачини її в гарем
Але на завтра буде не нова
І заздрість тих, у кого більш нема
А ще - завжди гаряча голова
І все дурне, що в пристрасті бува
Без совісті усе втрачає смак
І королям грішиться вже не так
Коли їм кажуть - можна те і се
І хочеться тікати від принцес
Голий король
Голий король
Ахрана
Атмєна
Ахрана, атмєна
У Плохіша
Від варення - мозоль
У Кібальчіша - ізмєна
Голий король
Голий король
Ахрана
Атмєна
Ахрана, атмєна
У Плохіша
Від варення - мозоль
У Кібальчіша - ізмєна
В той самий день, коли станеш жебраком
Ти будеш цінувати все, що мав
Ти виправиш все те, що ти зламав
Навколо світу - пішки з рюкзаком
Але ламав ти почуття людей
А ще - в підвалі стріп той чи бордель
Адрес не знаєш, всіх не обійдеш
І жебрака послухають, авжеж
Голий король
Голий король
Ахрана
Атмєна
Ахрана, атмєна
У Плохіша
Від варення - мозоль
У Кібальчіша - ізмєна
Голий король
Голий король
Ахрана
Атмєна
Ахрана, атмєна
У Плохіша
Від варення - мозоль
У Кібальчіша - ізмєна
В той самий день, коли встану і піду
Не лай мене за те, що я зробив
Ходою тою я себе розбив
Поніс подалі від усіх біду
Блиск королівської корони - лиш рутина
Короля чекає хто? Да, тільки гільотина
І мріють вони бути жебраками
Або нами з вами
Нами з вами
Голий король
Голий король
Ахрана
Атмєна
Ахрана, атмєна
У Плохіша
Від варення - мозоль
У Кібальчіша - ізмєна
Голий король
Голий король
Ахрана
Атмєна
Ахрана, атмєна
У Плохіша
Від варення - мозоль
У Кібальчіша - ізмєна
У Плохіша
Від варення - мозоль
У Кібальчіша - ізмєна
У Плохіша
Від варення - мозоль
У Кібальчіша - ізмєна",
36,Сталеві квіти,Бумбокс,2017,Hip-Hop,"Кажеш все про мене знаєш ти
Навіть стіни мають очі тут
Ну у кого вже навчилися?
Ти дай йому мою сорочку
Білу ту
Ти така, як я, незламна
Але там, де я себе запхав,
Ані психолога, ні шамана
Після всього через що пройшли
Починати знову все з нуля?
Небо-небо, чуєш, небо, я земля
Бо вже той день коли
Ми зриваємося на крик
Я не знаю тебе – звик
А якщо можеш без мене далі йти,
То підкажи коли відпустить,
В руки твої, що очікують
Крізь валуни човен правлю
Зі шкіри вистрибну, списом, стрілою, навиперед
Поряд в останній твій зойк я себе поставлю
Аби ще знов розпочати, зіграти наш спільний сет
Посеред стихлої ночі транслюють солодкі сни нам,
А ми дивитись не хтіли як квіти сталеві ростуть із глини
Ми сподівались від бруду вимитись, за руки взятись і вийти
Вибач, я більше не буду з бруду ростити сталеві квіти
Посеред стихлої ночі транслюють солодкі сни нам,
А ми дивитись не хтіли як квіти сталеві ростуть із глини
Ми сподівались від бруду вимитись, за руки взятись і вийти
Вибач, я більше не буду з бруду ростити сталеві квіти
Так усе й влаштовано
Тут зашив, там тече
Якщо впав - встань знов
Переклав на інше плече
Пішов брак людей, сутінки думок
Поклади їм край
Коли все ніяк - перевертай вініл, крути ще
Куплені, продані, забуті, згадані
Але не крадені сонячні наші дні, ні
Різні коли брудні, коли тендітні - ні
Хочеш пробач, хочеш ""ізвіні""
Але... ким тобі був, ким тепер став
Ким була мені
Ми були на все це згодні
Прошу, тільки не сьогодні
Чуєш? Тільки не сьогодні
Я намагався навіть на горі бути ким я є
Лиш мені моє, собі лиш своє
Бо невдовзі хвилі змиють сліди
Там де спільну мову шукав з тобою
В небі нічному серпневому наше придане
Чому так довго минав, хто ховав, де ховалася?
Вип'ю тебе по краплині і все дізнаюся
Скільки на двох нам жетонів в цій касі видано
Посеред стихлої ночі транслюють солодкі сни нам,
А ми дивитись не хтіли як квіти сталеві ростуть із глини
Ми сподівались від бруду вимитись, за руки взятись і вийти
Вибач, я більше не буду з бруду ростити сталеві квіти
Посеред стихлої ночі транслюють солодкі сни нам,
А ми дивитись не хтіли як квіти сталеві ростуть із глини
Ми сподівались від бруду вимитись, за руки взятись і вийти
Вибач, я більше не буду з бруду ростити сталеві квіти
Але ось тут, прямо тут
Між ребер з'явився порожній кут
Я кричав, просив, благав, на жаль
Бо ти для мене і пекло і новий рай
Схибили раз і все на нівець
Так мій зошит зламав і олівець
Так я сильний, я вільний, але пустий
Ти підкажи коли відпустить
Посеред стихлої ночі транслюють солодкі сни нам,
А ми дивитись не хтіли як квіти сталеві ростуть із глини
Ми сподівались від бруду вимитись, за руки взятись і вийти
Вибач, я більше не буду з бруду ростити сталеві квіти
Посеред стихлої ночі транслюють солодкі сни нам,
А ми дивитись не хтіли як квіти сталеві ростуть із глини
Ми сподівались від бруду вимитись, за руки взятись і вийти
Вибач, я більше не буду з бруду ростити сталеві квіти",
37,Колишня,Бумбокс,2017,Hip-Hop,"Холодний завчасно. Це досвід, так треба.
Буларе, якраз ти. Все згасло, крім тебе.
Спи далі з ким хочеш.
Їх рвав би руками.
Колишня-ха, о, це слово.
Мов лезо іржавіє, гостре було.
Затупилось об побуту камінь.
За ким теперь ідеш, і від кого біжиш, скажи.
Він твої рани зцілив чи так само як ти - лиш себе любив.
Привіт із забуття, модератори сплять, інтернет лежить.
Іншу таку знайду, їй байдуже - мені болить.
Ну давай, ще разок пошматуй моє щойно залатане серце.
Адже тобі так сумно одній, unfollow натиснули інші щоб всі.
Тихо й темно навколо з бурбоном і льодом.
Я більше не хочу йти спати, не сердься.
Одягайся і вимітайся, цього разу не поведеться.
Спи далі з ким хочеш.
Їх рвав би руками.
Колишня-ха, о, це слово.
Мов лезо іржавіє, гостре було.
Затупилось об побуту камінь.
За ким теперь ідеш, і від кого біжиш, скажи.
Він твої рани зцілив чи так само як ти - лиш себе любив.
Привіт із забуття, модератори сплять, інтернет лежить.
Іншу таку знайду, їй байдуже - мені болить.
Я не знаю, навіщо ти робиш з собою все це.
Інше тіло навіщо купила і інше купила лице.
Та я бачу як інші це, бачу крізь що ти ідеш, я буваю там теж.
І тільки тим, що існують мої, дім врятується цей від пожеж.
Вже йде! Вже йде!
За ким теперь ідеш, і від кого біжиш, скажи.
Він твої рани зцілив чи так само як ти - лиш себе любив.
Привіт із забуття, модератори сплять, інтернет лежить.
Іншу таку знайду, їй байдуже - мені болить.",
38,Вечір в Ріо,Бумбокс,2017,Hip-Hop,"Изобретаю ей комплименты - молчи и лайкай мои комменты
Я перестану быть актуальным, как только кончится срок аренды
Тёмно-зелёные её лодки, тяну weekend'ы и будни, чулки, колготки
Мы так похожи, но принцип разный - фотомодели кусают худые локти
Она - как первый мой вечер в Рио. Нет, я там не был, надеюсь, буду
Ради неё овладею вуду, на завтра съеду, но не забуду
В руке - рука, большего не надо! Она - огонь в - 40, а в плюс - прохлада
Мои актёры забыли роли. Перевести дух и дальше падать
Что скажут теперь твои френды? В сети ""пожелтеют"" страницы
Нам мало Long Island'ов и one-night-стендов, кино, алкопятниц и пиццы
Снимай, что ещё не снято - я это, вообще-то, о фильмах, клипах
Домой поздновато, а спать рановато. Мы выпили крепко и крепко влипли!
Я предупреждаю: ты в моем плейлисте на первом месте
Что я предлагаю: эти две-три жизни побудем вместе
Фестивали Heathrow, на лимо и в метро, в горах в палатках
Говоришь, вариант номер три - не твоё, бай-бай, комрадка
Я посвящу тебе столько песен на сколько хватит магнитной ленты
Я перестану быть интересен, как только мы перейдём на ""ты""
Я не люблю новостные сводки. Нет у меня ни RedBull'а, ни водки
Мы так похожи, но принцип разный. Оставь себе все крючки, лебёдки
А я-то думал, ты - вечер в Рио. Нет, я там не был, надеюсь, буду
Теперь я знаю, что значит ""вуду"". На завтра съеду, но не забуду
В руке - рука, большего не надо! Она - огонь в - 40, а в плюс - прохлада
Мои актёры забыли роли, перевести дух и дальше падать
Что скажут теперь твои френды? В сети ""пожелтеют"" страницы
Нам мало Long Island'ов и one-night-стендов, кино, алкопятниц и пиццы
Снимай, что ещё не снято - я это, вообще-то, о фильмах, клипах
Домой поздновато, а спать рановато. Мы выпили крепко и крепко влипли!
Я предупреждаю: ты в моём плейлисте на первом месте
Что я предлагаю: эти две-три жизни побудем вместе
Фестивали Heathrow, на лимо и в метро, в горах в палатках
Говоришь, вариант номер три - не твоё, бай-бай, комрадка
Что скажут теперь твои френды? В сети ""пожелтеют"" страницы
Нам мало Long Island'ов и one-night-стендов, кино, алкопятниц и пиццы
Снимай, что ещё не снято - я это, вообще-то, о фильмах, клипах
Домой поздновато, а спать рановато. Мы выпили крепко и крепко влипли!
Я предупреждаю: ты в моём плейлисте на первом месте
Что я предлагаю: эти две-три жизни побудем вместе
Фестивали Heathrow, на лимо и в метро, в горах в палатках
Говоришь, вариант номер три - не твоё, бай-бай, комрадка",
39,Люди,Бумбокс,2016,Hip-Hop,"Якось спитала ти
Так чому ж я з тобою?
Сказав, що більш такої
На світі не знайти
Думав, ходив, аж ось
Декілька слів знайшлось
Скажи поміж сестер
Що ці слова твої тепер!
Навіть коли я не я
Ти все одно зі мною
Ось чому ти - моя
Ось чому я з тобою
Навіть коли кричу
Навіть коли ти плачеш
Гавкіт стоїть собачий
Посеред розпачу
Навіть коли болить
Терпіти сил немає
Ти мене обіймаєш
І я без крил лечу
Бідам усім на зло
Коли обоє рябоє
Ти моя, щоб не було
Ось чому я з тобою
Ось чому я з тобою
Люди ми тільки тоді
Як дуже сильно любимо
Тільки тоді, коли любимо ми
Можемо зватись людьми
Люди ми тільки тоді
Як дуже сильно любимо
Тільки тоді, коли любимо ми
Можемо зватись людьми
Скільки казати ще
Телефонуй ледащо
Навіть коли пропаща
Коли горить, пече
Навіть коли ось-ось
Ти, а не інший хтось
Нізащо не втечеш
В жилах моїх течеш
Навіть коли болить
Терпіти сил немає
Ти мене обіймаєш
І я без крил лечу
Бідам усім на зло
Коли обоє рябоє
Ти моя, що б не було
Ось чому я з тобою
Ось чому я з тобою
Люди ми тільки тоді
Як дуже сильно любимо
Тільки тоді, коли любимо ми
Можемо зватись людьми
Люди ми тільки тоді
Як дуже сильно любимо
Тільки тоді, коли любимо ми
Можемо зватись людьми
Будемо зватись людьми, людьми
Якось спитала ти
Так чому ж я з тобою?
Сказав, що більш такої
У світі не знайти
Думав, ходив, аж ось
Декілька слів знайшлось
Скажи поміж сестер
Що ці слова твої тепер
Люди ми тільки тоді
Як дуже сильно любимо
Тільки тоді, коли любимо ми
Можемо зватись людьми
Люди ми тільки тоді
Як дуже сильно любимо
Тільки тоді, коли любимо ми
Можемо зватись людьми
Люди ми тільки тоді
Як дуже сильно любимо
Тільки тоді, коли любимо ми
Можемо зватись людьми
Люди ми тільки тоді
Як дуже сильно любимо
Тільки тоді, коли любимо ми
Можемо зватись людьми",
40,Мала,Бумбокс,2016,Hip-Hop,"А моїй малій байдуже на рахунки і купюри
На малюнки байдуже їй, на гравюри, байдуже на все
А моїй малій байдуже на машини, мотоцикли
На кінотеатри, цирки, все
Все, що їй потрібно - поряд, або майже все
І мене, мене від того несе

А моя мала без жалю, без болю, без зла
А моя мала без примх, вад, забаганок
А моя мала чиста і світла, як ранок
А моя мала, принаймні, як їхав, була

Не ховайся від мене за стіни ніколи, ти чуєш?
Не будуй водоспади з образ або з плачу - це зайве
Я тобі все, що хочеш, чи майже, що хочеш, пробачу
Ти ж прощати борги не повинна навзаєм
Не лякайся мене, кривди я не насиплю ні в тіло, ні в душу
Цілий всесвіт лунає в тобі, а це все-таки значить
Тільки очі відкриєш - одразу слова ці побачиш
Їхати я не х'тів і не хочу - а мушу

А моя мала без жалю, без болю, без зла
А моя мала без примх, вад, забаганок
А моя мала чиста і світла, як ранок
А моя мала, принаймні, як їхав, була",
41,Дурень,Бумбокс,2013,Hip-Hop,"Буде потрібен дурень - телефонуй мені
Ні сліз, ні слів, ні обурень - міста мої у вогні
Ти все врахувала вдало, у тебе до того хист,
І знищено переправу, між нами останній міст ...
Надвечір коли все п'яне - думки накивали п'ят,
Зализували мої рани десятки інших дівчат.
Ось так і втрачають цноту, в останнє не втримали сліз.
Нудьга та боїться поту, кохання боїться валіз...
Інший в око тепер тобі впаде
Віддай любов візьми собі владу
Хто тепер крає мене і краде?
Перша наша зрада
Буде потрібен дотик - надряпай слова на стіні,
Гачок мій опій наркотик, міста мої у вогні
Ти мур збудувала вдало, упав не один альпініст
Виконуй над іншими вправи, кохання залиш мені ...
Надвечір коли всім п'яним, думки накивали п'ят,
Зализували твої рани десятки інших хлоп'ят
Ось так ми і втратили цноту, в останнє не втримали сліз
А ти так боялась поту, а я так боявся валіз...
Інший в око тепер тобі впаде
Віддай любов візьми собі владу
Хто тепер крає мене і краде?
Перша наша зрада
Інший в око тепер тобі впаде
Віддай любов візьми собі владу
Хто тепер крає мене і краде?
Перша наша зрада",
42,Шукай,Бумбокс,2013,Hip-Hop,"Якось він її залишив просто-просто
Посеред пустого міста, на зупинці -
Мегаполіс схожим став на тихий острів:
Де юрба, там хвилі сині, хмарки ниці.
Стало темно і самотньо та згодом
Їй птахи з дерев гукнули: ""Пусте це!""
Шепотіло листя: ""Смішна та втрата,
Не сумуй, сестро! Кращого варта!""
Почуття на прокат, мов стріли гострі,
За ударом удар – все попід серце.
В цьому світі з тобою ми - тільки гості,
Ні секунди не згай! Не повернеться!..

Шукай мене там, де біль мине,
Між зла людей не є місце моє!
Шукай мене там, де біль мине,
Ось де я є, де всі мої є!
Шукай мене там, де біль мине,
Між зла людей не є місце твоє!
Шукай мене там, де біль мине,
Ось де ти є, де всі твої є!

Вогні великих міст схожі на рай, рай
Манять і кличуть тебе і мене.
Дівчинко, будь собою, на все зважай,
Чуй голоси шепочуть:
""Продай душу, продай, продай, продай...""
Почуття на прокат, мов стріли гострі,
За ударом удар – все попід серце.
В цьому світі з тобою ми - тільки гості,
Ні секунди не згай! Не повернеться!..

Ось, де я є, де всі мої є!
Де я є, де всі мої є!
Ось, де я є, де всі мої є!
Де я є, де всі мої є!",
43,Дитина,Бумбокс,2013,Hip-Hop,"Стань мені самою,
Саме тою піснею,
Будую світ і розламую
Кожного разу після,
Лишись на першому,
На своєму місці,
Ця подорож вже завершена,
А швидкість ще двісті...
Руту не шукай - твоя вона,
Не даруй речей, даруй сина,
Як тобі, не знаю,
Припасти до душі?..
Річ одну ти знати повинна:
Ні на що це зовсім не схоже,
Я немов маленька дитина,
Що без тебе жити не може.
Знані на весь світ команди,
Мультиплатинові диски -
Всі вони круті, ну звісно,
Але так далеко звідси.
Декілька простих акордів -
І мелодія лунає -
Сподіваюсь, відчуваєш,
Хто про тебе справді дбає.
Руту не шукай - твоя вона,
Не даруй речей, даруй сина,
Як тобі, не знаю,
Припасти до душі?..
Річ одну ти знати повинна:
Ні на що це зовсім не схоже,
Я немов маленька дитина,
Що без тебе жити не може.
Відтепер нема людей, колапс,
Розмір їх обрядів замалий,
В інших всіх світах моя була,
І нарешті стрілись на землі.
Не закінчуйся, наївний сон,
Двоє на планеті проти всіх,
Не дивись на них, не слухай їх,
Це лише між пальцями пісок...
Руту не шукай - твоя вона,
Не даруй речей, даруй сина,
Як тобі, не знаю,
Припасти до душі?..
Річ одну ти знати повинна:
Ні на що це зовсім не схоже,
Я немов маленька дитина,
Що без тебе жити....",
